year,state,region,diabetes,kidney_disease,pulmonary_disease,obese,no_leisure,overweight,healthy_weight
2014,WA,West,8.9,2.8,6,27.3,18.1,63.4,34.5
2014,WI,Midwest,9,2.2,5.2,31.2,21.2,67.4,31.2
2014,WV,South,14.1,3.6,13.5,35.7,28.7,69.6,28.4
2014,WY,West,8.4,2.8,6.7,29.5,22.1,64.6,33.2
2015,AK,West,7.6,1.8,4,29.8,22,67.2,31.8
2015,AL,South,13.5,2.8,10.5,35.6,31.9,68.7,28.9
2015,AR,South,12.6,3.2,9.8,34.5,34.2,69.5,28.2
2015,AZ,West,10.1,3.8,6.4,28.4,24.7,65.3,32.6
2015,CA,West,10,2.4,4,24.2,20,60.3,38
2015,CO,West,6.8,2.5,4.3,20.2,17.9,56.6,41.2
2015,CT,Northeast,9.3,1.9,5.1,25.3,23.5,61.6,36.3
2015,DC,South,8.5,2.6,5.3,22.1,19.4,54.4,43.5
2015,DE,South,11.5,3.4,7.1,29.7,29.4,66.8,31.7
2015,FL,South,11.3,3,7,26.8,26.2,64.1,33.9
2015,GA,South,11.3,3,6.9,30.7,27.3,65.5,32.7
2015,HI,West,8.5,3.1,4.3,22.7,22.5,57,40.8
2015,IA,Midwest,8.8,1.9,5.7,32.1,26.3,66.7,32
2015,ID,West,8.1,1.8,4.9,28.6,21.2,65.2,32.9
2015,IL,Midwest,9.9,2.6,5.8,30.8,24.8,66.2,32.4
2015,IN,Midwest,11.4,2.8,8,31.3,29.4,66.5,31.8
2015,KS,Midwest,9.7,2.9,6.2,34.2,26.5,68,29.9
2015,KY,South,13.4,3,12.1,34.6,32.5,67.2,30.9
2015,LA,South,12.7,2.8,7.6,36.2,31.9,69.2,28.7
2015,MA,Northeast,8.9,2.4,5.7,24.3,26.5,59.7,38.4
2015,MD,South,10.3,2.3,6.1,28.9,24.1,65,32.8
2015,ME,Northeast,9.9,2.6,8.1,30,24.8,66.5,32
2015,MI,Midwest,10.7,3.4,7.7,31.2,25.5,66.2,32.1
2015,MN,Midwest,7.6,2,4.5,26.1,21.8,62.8,35.6
2015,MO,Midwest,11.5,2.7,8.4,32.4,27,66.3,31.7
2015,MS,South,14.7,2.9,7.8,35.6,36.8,70.1,28.2
2015,MT,West,7.9,2.5,5.7,23.6,22.5,61,37.3
2015,NC,South,10.7,2.8,7.4,30.1,26.2,65.8,32.7
2015,ND,Midwest,8.7,2.3,5.1,31,26.8,67,31.8
2015,NE,Midwest,8.8,2.4,5.4,31.4,25.3,67,31
2015,NH,Northeast,8.1,2.7,6.6,26.3,22.6,63.6,35.1
2015,NJ,Northeast,9,2,5,25.6,27.2,63.4,35
2015,NM,West,11.5,3,6.1,28.8,22.6,64.5,34
2015,NV,West,9.7,3.2,6.6,26.7,24.7,64.7,33.6
2015,NY,Northeast,9.8,2.1,5.7,25,29.3,59.5,38.4
2015,OH,Midwest,11,3.2,7.9,29.8,27,66.5,31.7
2015,OK,South,11.7,2.6,8.7,33.9,33.2,68.9,29.6
2015,OR,West,10.7,3.1,5.6,30.1,18.8,64.5,33.5
2015,PA,Northeast,10.4,2.7,7,30,27.8,66.2,32.1
2015,RI,Northeast,9,2.6,6.2,26,28.1,62.6,35.9
2015,SC,South,11.8,2.9,7.2,31.7,26.7,66.2,32
2015,SD,Midwest,9.3,2.1,5.6,30.4,21.5,64.5,34.3
2015,TN,South,12.7,3.5,9.6,33.8,30.4,68.7,29.9
2015,TX,South,11.4,2.7,5.1,32.4,29.5,68.7,29.5
2015,UT,West,7,2.6,3.7,24.5,20.3,59.6,38.3
2015,VA,South,10.3,2.3,5.7,29.2,25.1,64.1,34
2015,VT,Northeast,8.2,2.5,6.2,25.1,22.2,59.9,38.5
2015,WA,West,8.4,3.3,6.1,26.4,19,62.5,35.9
2015,WI,Midwest,8.4,2.2,4.7,30.7,21.6,66,32.7
2015,WV,South,14.5,3.6,13.3,35.6,30.8,71.1,26.9
2015,WY,West,8.4,2.8,7.2,29,26.2,65.4,32.9
